TribeId,Tribe(EN),Tribe(ZH),UnitId,Name(EN),Name(ZH),Type,Off,Def_i,Def_c,Speed,Cap,Cost_Lumber,Cost_Clay,Cost_Iron,Cost_Crop,Upkeep,TrainTime_s,TrainTime,ResearchTime_s,ResearchTime
5,The Natarian Troops,The Natarian Troops,1,Pikeman,Pikeman,i,20,35,50,6,0,0,0,0,0,1,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,2,Thorned Warrior,Thorned Warrior,i,65,30,10,7,0,0,0,0,0,1,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,3,Guardsman,Guardsman,i,100,90,75,6,0,0,0,0,0,1,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,4,Birds Of Prey,Birds Of Prey,i,0,10,0,25,0,0,0,0,0,1,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,5,Axerider,Axerider,c,155,80,50,14,0,0,0,0,0,2,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,6,Natarian Knight,Natarian Knight,c,170,140,80,12,0,0,0,0,0,3,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,7,Warelephant,Warelephant,i,250,120,150,5,0,0,0,0,0,4,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,8,Ballista,Ballista,i,60,45,10,3,0,0,0,0,0,5,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,9,Natarian Emperor,Natarian Emperor,i,80,50,50,5,0,0,0,0,0,1,0,0:00:00,1800,00:30:00
5,The Natarian Troops,The Natarian Troops,10,Settler,Settler,i,30,40,40,5,0,0,0,0,0,1,0,0:00:00,0,0:00:00
