TribeId,Tribe(EN),Tribe(ZH),UnitId,Name(EN),Name(ZH),Type,Off,Def_i,Def_c,Speed,Cap,Cost_Lumber,Cost_Clay,Cost_Iron,Cost_Crop,Upkeep,TrainTime_s,TrainTime,ResearchTime_s,ResearchTime
6,The Egyptian Troops,The Egyptian Troops,1,Slave Militia,Slave Militia,i,10,30,20,7,15,45,60,30,15,1,530,00:08:50,3390,00:56:30
6,The Egyptian Troops,The Egyptian Troops,2,Ash Warden,Ash Warden,i,30,55,40,6,50,115,100,145,60,1,1380,00:23:00,5760,01:36:00
6,The Egyptian Troops,The Egyptian Troops,3,Khopesh Warrior,Khopesh Warrior,i,65,50,20,7,45,170,180,220,80,1,1440,00:24:00,6120,01:42:00
6,The Egyptian Troops,The Egyptian Troops,4,Sopdu Explorer,Sopdu Explorer,c,0,20,10,16,0,170,150,20,40,2,1360,00:22:40,5880,01:38:00
6,The Egyptian Troops,The Egyptian Troops,5,Anhur Guard,Anhur Guard,c,50,110,50,15,50,360,330,280,120,2,2560,00:42:40,9480,02:38:00
6,The Egyptian Troops,The Egyptian Troops,6,Resheph Chariot,Resheph Chariot,c,110,120,150,10,70,450,560,610,180,3,3240,00:54:00,11520,03:12:00
6,The Egyptian Troops,The Egyptian Troops,7,Ram,Ram,i,55,30,95,4,0,995,575,340,80,3,4800,01:20:00,16200,04:30:00
6,The Egyptian Troops,The Egyptian Troops,8,Stone Catapult,Stone Catapult,i,65,55,10,3,0,980,1510,660,100,6,9000,02:30:00,28800,08:00:00
6,The Egyptian Troops,The Egyptian Troops,9,Nomarch,Nomarch,i,40,50,50,4,0,34000,50000,34000,42000,4,90700,1.01:11:40,24475,06:47:55
6,The Egyptian Troops,The Egyptian Troops,10,Settler,Settler,i,0,80,80,5,3000,5040,6510,4830,4620,1,24800,06:53:20,0,0:00:00
